bid_seq,Sno,name,country,isindian,speciality,Batting_handedness,Bowling_handedness,team_name,bid_amt,base_price,est_auc_prc,Status
444,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",200,200,NULL,Unsold
445,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","CHENNAI SUPER KINGS",220,200,NULL,Unsold
446,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","CHENNAI SUPER KINGS",240,200,NULL,Unsold
447,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","CHENNAI SUPER KINGS",260,200,NULL,Unsold
448,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",280,200,NULL,Unsold
449,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","CHENNAI SUPER KINGS",300,200,NULL,Unsold
450,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","CHENNAI SUPER KINGS",320,200,NULL,Unsold
451,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","CHENNAI SUPER KINGS",340,200,NULL,Unsold
452,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","CHENNAI SUPER KINGS",360,200,NULL,Unsold
453,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","CHENNAI SUPER KINGS",380,200,NULL,Unsold
455,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",400,200,NULL,Unsold
456,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","RAJASTHAN ROYALS",420,200,NULL,Unsold
457,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",440,200,NULL,Unsold
458,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","RAJASTHAN ROYALS",460,200,NULL,Unsold
459,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",480,200,NULL,Unsold
460,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","RAJASTHAN ROYALS",500,200,NULL,Unsold
461,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",520,200,NULL,Unsold
462,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","RAJASTHAN ROYALS",540,200,NULL,Unsold
463,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",560,200,NULL,Unsold
464,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","RAJASTHAN ROYALS",580,200,NULL,Unsold
465,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",600,200,NULL,Unsold
466,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","RAJASTHAN ROYALS",620,200,NULL,Unsold
467,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",640,200,NULL,Unsold
468,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","RAJASTHAN ROYALS",660,200,NULL,Unsold
469,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",680,200,NULL,Unsold
470,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","RAJASTHAN ROYALS",700,200,NULL,Unsold
471,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",720,200,NULL,Unsold
472,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","RAJASTHAN ROYALS",740,200,NULL,Unsold
473,1,"Ravichandran Ashwin",India,Indian,"Coming in Spinner",RHB,"RA Off Break","KINGS XI PUNJAB",760,200,NULL,Sold
474,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","KINGS XI PUNJAB",200,200,NULL,Unsold
475,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","MUMBAI INDIANS",220,200,NULL,Unsold
477,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","KINGS XI PUNJAB",240,200,NULL,Unsold
478,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","MUMBAI INDIANS",260,200,NULL,Unsold
479,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","MUMBAI INDIANS",280,200,NULL,Unsold
480,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","MUMBAI INDIANS",300,200,NULL,Unsold
482,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","KINGS XI PUNJAB",320,200,NULL,Unsold
483,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","KINGS XI PUNJAB",340,200,NULL,Unsold
484,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","KINGS XI PUNJAB",360,200,NULL,Unsold
485,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","MUMBAI INDIANS",380,200,NULL,Unsold
486,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","KINGS XI PUNJAB",400,200,NULL,Unsold
487,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","DELHI DARE DEVILS",420,200,NULL,Unsold
488,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","KINGS XI PUNJAB",440,200,NULL,Unsold
489,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","DELHI DARE DEVILS",460,200,NULL,Unsold
490,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","KINGS XI PUNJAB",480,200,NULL,Unsold
491,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","DELHI DARE DEVILS",500,200,NULL,Unsold
492,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","DELHI DARE DEVILS",520,200,NULL,Unsold
493,5,"Kieron Pollard","West Indies",Foreigner,"Bat All Rounder",RHB,"RA Medium Fast","DELHI DARE DEVILS",540,200,NULL,Unsold
495,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",200,200,NULL,Unsold
496,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",220,200,NULL,Unsold
497,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",240,200,NULL,Unsold
498,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",260,200,NULL,Unsold
499,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",280,200,NULL,Unsold
500,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",300,200,NULL,Unsold
501,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",320,200,NULL,Unsold
502,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",340,200,NULL,Unsold
503,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",360,200,NULL,Unsold
504,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",380,200,NULL,Unsold
505,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",400,200,NULL,Unsold
506,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",420,200,NULL,Unsold
507,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",440,200,NULL,Unsold
508,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",460,200,NULL,Unsold
509,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",480,200,NULL,Unsold
511,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",500,200,NULL,Unsold
512,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",520,200,NULL,Unsold
513,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",540,200,NULL,Unsold
514,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",560,200,NULL,Unsold
515,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",580,200,NULL,Unsold
516,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",600,200,NULL,Unsold
517,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",620,200,NULL,Unsold
518,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","CHENNAI SUPER KINGS",640,200,NULL,Unsold
519,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",660,200,NULL,Unsold
520,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",680,200,NULL,Unsold
521,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",700,200,NULL,Unsold
522,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",720,200,NULL,Unsold
523,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",740,200,NULL,Unsold
524,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",760,200,NULL,Unsold
525,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",780,200,NULL,Unsold
527,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",800,200,NULL,Unsold
528,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",820,200,NULL,Unsold
529,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",840,200,NULL,Unsold
530,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",860,200,NULL,Unsold
531,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",880,200,NULL,Unsold
532,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",900,200,NULL,Unsold
535,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",920,200,NULL,Unsold
536,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",940,200,NULL,Unsold
537,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",960,200,NULL,Unsold
538,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",980,200,NULL,Unsold
539,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",1000,200,NULL,Unsold
540,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",1050,200,NULL,Unsold
541,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",1100,200,NULL,Unsold
542,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KOLKATA KNIGHT RIDERS",1150,200,NULL,Unsold
543,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","KINGS XI PUNJAB",1200,200,NULL,Unsold
544,8,"Ben Stokes",England,Foreigner,"Bat All Rounder",LHB,"RA Medium Fast","RAJASTHAN ROYALS",1250,200,NULL,Sold
545,3,"Faf Du Plessis","South Africa",Foreigner,"Top Order Bat",RHB,"RA Leg Break","CHENNAI SUPER KINGS",150,150,NULL,Unsold
546,3,"Faf Du Plessis","South Africa",Foreigner,"Top Order Bat",RHB,"RA Leg Break","CHENNAI SUPER KINGS",160,150,NULL,Sold
547,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"KINGS XI PUNJAB",200,200,NULL,Unsold
548,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"MUMBAI INDIANS",220,200,NULL,Unsold
549,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"MUMBAI INDIANS",240,200,NULL,Unsold
550,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"MUMBAI INDIANS",260,200,NULL,Unsold
551,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"KINGS XI PUNJAB",280,200,NULL,Unsold
552,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"MUMBAI INDIANS",300,200,NULL,Unsold
553,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"MUMBAI INDIANS",320,200,NULL,Unsold
554,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"KINGS XI PUNJAB",340,200,NULL,Unsold
555,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"KINGS XI PUNJAB",360,200,NULL,Unsold
556,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"MUMBAI INDIANS",380,200,NULL,Unsold
558,6,"Ajinkya Rahane",India,Indian,"Opening Batsman",RHB,-,"RAJASTHAN ROYALS",400,200,NULL,Sold
559,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",200,200,NULL,Unsold
560,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",220,200,NULL,Unsold
561,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",240,200,NULL,Unsold
562,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",260,200,NULL,Unsold
565,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",280,200,NULL,Unsold
566,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",300,200,NULL,Unsold
567,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",320,200,NULL,Unsold
568,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",340,200,NULL,Unsold
569,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",360,200,NULL,Unsold
570,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",380,200,NULL,Unsold
571,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",400,200,NULL,Unsold
572,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",420,200,NULL,Unsold
573,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",440,200,NULL,Unsold
574,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",460,200,NULL,Unsold
575,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",480,200,NULL,Unsold
576,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",500,200,NULL,Unsold
577,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",520,200,NULL,Unsold
578,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",540,200,NULL,Unsold
579,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",560,200,NULL,Unsold
580,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",580,200,NULL,Unsold
581,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",600,200,NULL,Unsold
582,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",620,200,NULL,Unsold
583,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",640,200,NULL,Unsold
584,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",660,200,NULL,Unsold
585,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",680,200,NULL,Unsold
586,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",700,200,NULL,Unsold
587,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",720,200,NULL,Unsold
588,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",740,200,NULL,Unsold
589,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",760,200,NULL,Unsold
590,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",780,200,NULL,Unsold
591,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",800,200,NULL,Unsold
592,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",820,200,NULL,Unsold
593,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",840,200,NULL,Unsold
594,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",860,200,NULL,Unsold
595,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",880,200,NULL,Unsold
596,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",900,200,NULL,Unsold
597,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KINGS XI PUNJAB",920,200,NULL,Unsold
598,7,"Mitchell Starc",Australia,Foreigner,"Left arm Fast Bowler",LHB,"LA Fast","KOLKATA KNIGHT RIDERS",940,200,NULL,Sold
599,14,"Harbhajan Singh",India,Indian,"Coming in Spinner",RHB,"RA Off Break","CHENNAI SUPER KINGS",200,200,NULL,Sold
600,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","SUNRISERS HYDERABAD",100,100,NULL,Unsold
601,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","KOLKATA KNIGHT RIDERS",110,100,NULL,Unsold
604,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","SUNRISERS HYDERABAD",120,100,NULL,Unsold
605,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","KOLKATA KNIGHT RIDERS",130,100,NULL,Unsold
606,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","SUNRISERS HYDERABAD",140,100,NULL,Unsold
607,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","RAJASTHAN ROYALS",150,100,NULL,Unsold
608,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","KOLKATA KNIGHT RIDERS",160,100,NULL,Unsold
609,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","RAJASTHAN ROYALS",170,100,NULL,Unsold
610,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","RAJASTHAN ROYALS",180,100,NULL,Unsold
611,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","RAJASTHAN ROYALS",190,100,NULL,Unsold
612,11,"Shakib Hasan",Bangladesh,Foreigner,"Bowl All Rounder",LHB,"LA Slow Orthodox","SUNRISERS HYDERABAD",200,100,NULL,Sold
613,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","SUNRISERS HYDERABAD",200,200,NULL,Unsold
614,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","RAJASTHAN ROYALS",220,200,NULL,Unsold
615,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","SUNRISERS HYDERABAD",240,200,NULL,Unsold
616,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","RAJASTHAN ROYALS",260,200,NULL,Unsold
617,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","SUNRISERS HYDERABAD",280,200,NULL,Unsold
618,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","RAJASTHAN ROYALS",300,200,NULL,Unsold
619,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","SUNRISERS HYDERABAD",320,200,NULL,Unsold
620,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","RAJASTHAN ROYALS",340,200,NULL,Unsold
621,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","SUNRISERS HYDERABAD",360,200,NULL,Unsold
622,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","RAJASTHAN ROYALS",380,200,NULL,Unsold
623,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","SUNRISERS HYDERABAD",400,200,NULL,Unsold
624,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","RAJASTHAN ROYALS",420,200,NULL,Unsold
625,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","SUNRISERS HYDERABAD",440,200,NULL,Unsold
626,12,"Glenn Maxwell",Australia,Foreigner,"Top Order Bat",RHB,"RA Off Break","RAJASTHAN ROYALS",460,200,NULL,Unsold
